URL,Title,Address,Date of Scrape
https://sandiego.craigslist.org/nsd/art/d/rizzi-james-urban-primitive/6486613641.html,RIZZI James Urban Primitive 3D Art Very Collectable,,2018-02-13 16:05:33.534072
https://newjersey.craigslist.org/for/d/complete-aromatherapy/6486320570.html,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,2018-02-13 16:05:33.555337
https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6461435941.html,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,2018-02-13 16:05:33.561808
https://newyork.craigslist.org/mnh/tix/d/turandot-met-opera-discounted/6493464298.html,Turandot - Met Opera - Discounted Tickets Available,Upper West Side,2018-02-13 16:05:33.555337
https://tampa.craigslist.org/hil/clt/d/very-rare-set-of-2-acme/6470961753.html,VERY RARE SET OF 2 ACME STUDIO ROLLERBALL PENS BY JAMES RIZZI NEW COND,,2018-02-13 16:05:33.570274
https://orlando.craigslist.org/clt/d/many-art-paintings-many/6495160953.html,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,2018-02-13 16:05:33.570274
https://treasure.craigslist.org/atd/d/multi-estate-antique/6446529251.html,MULTI ESTATE ANTIQUE & COLLECTIBLE AUCTION,,2018-02-13 16:05:33.570274
Scrape,Title,Address,URL
2018-02-14 12:14:03.183388,VERY RARE SET OF 2 ACME STUDIO ROLLERBALL PENS BY JAMES RIZZI NEW COND,,https://tampa.craigslist.org/hil/clt/d/very-rare-set-of-2-acme/6470961753.html
2018-02-14 12:14:03.183388,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6495160953.html
2018-02-14 12:14:03.183388,MULTI ESTATE ANTIQUE & COLLECTIBLE AUCTION,,https://treasure.craigslist.org/atd/d/multi-estate-antique/6446529251.html
2018-02-14 12:14:03.205032,RIZZI James Urban Primitive 3D Art Very Collectable,,https://sandiego.craigslist.org/nsd/art/d/rizzi-james-urban-primitive/6486613641.html
2018-02-14 12:14:03.314905,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6461435941.html
2018-02-14 12:14:03.402934,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/for/d/complete-aromatherapy/6486320570.html
2018-02-14 12:14:03.402934,Turandot - Met Opera - Discounted Tickets Available,Upper West Side,https://newyork.craigslist.org/mnh/tix/d/turandot-met-opera-discounted/6493464298.html
